ID_Number,Forest_Type,Plot,Layer,pH,Org_Matter,Bulk_Density,Mic_BiomassC,Mic_BiomassN
B13 R2 M,Old growth,B13 R2,M,4.22,0.4515,1.301,3.712978473,0.003452328
B13 R3 M,Old growth,B13 R3,M,4.77,0.2732,1.114,1.905083199,0.009980063
B15 R1 M,Old growth,B15 R1,M,5.28,0.2385,1.475,0.071122852,0.002694047
B15 R2 M,Old growth,B15 R2,M,5.01,0.2190,0.699,0.657176554,0.038399298
B15 R3 M,Old growth,B15 R3,M,3.72,0.3494,1.457,0.347734903,0.039601635
B17 R1 M,Old growth,B17 R1,M,4.56,0.2157,1.531,0.132828604,0.015242627
B17 R2 M,Old growth,B17 R2,M,4.45,0.2048,1.261,0.01702661,0.043939639
B17 R3 M,Old growth,B17 R3,M,4.70,0.2408,1.333,2.208546225,0.023970408
B19 R1 M,Old growth,B19 R1,M,3.78,7.2263,1.242,0.096199677,0.106445797
B19 R2 M,Old growth,B19 R2,M,3.86,6.3547,1.554,1.883409032,0.005167103
B19 R3 M,Old growth,B19 R3,M,4.23,0.2775,1.175,2.351862295,0.025206899
B21 R1 M,Old growth,B21 R1,M,4.02,7.9096,1.278,1.802582207,0.080013161
B21 R2 M,Old growth,B21 R2,M,3.96,7.4568,1.228,2.015340699,0.079055434
B21 R3 M,Old growth,B21 R3,M,3.86,6.8049,1.276,0.896222764,0.087068274
B25 R1 M,Old growth,B25 R1,M,4.23,0.2527,1.434,1.548094185,0.117966007
B25 R2 M,Old growth,B25 R2,M,4.27,0.2497,1.448,3.877974442,0.00458864
B25 R3 M,Old growth,B25 R3,M,4.28,0.2381,1.434,0.935607449,0.026557751
E1 R1 O,Degraded,E1 R1,O,4.22,0.5740,1.341,0.719610362,0.044277014
E1 R2 O,Degraded,E1 R2,O,4.47,0.5561,0.834,0.247186094,0.021400353
E1 R3 O,Degraded,E1 R3,O,4.77,0.6335,1.442,1.427523644,0.172424886
E3 R1 O,Degraded,E3 R1,O,3.50,0.7095,1.168,0.496148003,0.027587891
E3 R2 O,Degraded,E3 R2,O,3.65,0.5398,1.171,1.495559539,0.118250576
E3 R3 O,Degraded,E3 R3,O,3.74,0.7809,0.757,1.564357146,0.137300709
E7 R1 O,Degraded,E7 R1,O,3.72,0.7125,1.011,1.41454404,0.096247326
E7 R2 O,Degraded,E7 R2,O,3.56,0.9691,0.929,1.071802683,0.075891187
E7 R3 O,Degraded,E7 R3,O,3.52,0.8369,1.244,0.940348727,0.062322626
E9 R1 O,Degraded,E9 R1,O,3.64,0.6173,0.961,1.376240097,0.033549876
E9 R2 O,Degraded,E9 R2,O,3.71,0.5351,1.128,1.48247696,0.088073644
E9 R3 O,Degraded,E9 R3,O,3.77,0.4950,2.236,1.48567425,0.056464448
E11 R1 O,Degraded,E11 R1,O,3.69,0.7467,0.806,2.116230051,0.127732611
E11 R2 O,Degraded,E11 R2,O,3.70,0.6555,1.187,2.634480236,0.10465815
E11 R3 O,Degraded,E11 R3,O,3.64,0.9144,1.000,2.347457197,0.143550272
E13 R1 O,Degraded,E13 R1,O,3.68,1.2093,0.744,1.980740063,0.177910605
E13 R2 O,Degraded,E13 R2,O,3.77,0.6185,1.138,1.212037868,0.092702696
E13 R3 O,Degraded,E13 R3,O,3.72,0.4613,1.319,1.745184967,0.126060864
E15 R1 O,Degraded,E15 R1,O,3.46,1.9410,0.698,5.602956347,0.164792834
E15 R2 O,Degraded,E15 R2,O,3.67,0.9764,0.792,3.75642645,0.13132673
E15 R3 O,Degraded,E15 R3,O,3.61,0.8147,1.304,1.173296071,0.0266354
E17 R1 O,Degraded,E17 R1,O,3.46,0.8683,1.069,1.487841325,0.059332682
E17 R2 O,Degraded,E17 R2,O,3.99,0.5781,0.778,0.48988975,0.038548702
E17 R3 O,Degraded,E17 R3,O,3.56,0.6738,0.830,2.288416076,0.075542047
E19 R1 O,Degraded,E19 R1,O,3.57,0.7701,0.836,0.395211002,0.106239788
E19 R2 O,Degraded,E19 R2,O,3.53,1.0431,1.177,0.892593518,0.063947752
E19 R3 O,Degraded,E19 R3,O,3.55,0.8177,1.272,1.75833936,0.076890868
E21 R1 O,Degraded,E21 R1,O,3.62,1.3769,0.707,3.503649241,0.110461339
E21 R2 O,Degraded,E21 R2,O,3.62,4.2930,1.029,3.029952674,0.05025513
E21 R3 O,Degraded,E21 R3,O,3.39,2.8200,0.786,2.810819919,0.078195346
